Name,HMDB,PubChem,KEGG
Acetoacetic acid,HMDB00060,96,C00164
Beta-Alanine,HMDB00056,239,C00099
Creatine,HMDB00064,586,C00300
Dimethylglycine,HMDB00092,673,C01026
Fumaric acid,HMDB00134,444972,C00122
Glycine,HMDB00123,750,C00037
Homocysteine,HMDB00742,778,C05330
L-Cysteine,HMDB00574,5862,C00097
L-Isoleucine,HMDB00172,6306,C00407
L-Phenylalanine,HMDB00159,6140,C00079
L-Serine,HMDB00187,5951,C00065
L-Threonine,HMDB00167,6288,C00188
L-Tyrosine,HMDB00158,6057,C00082
L-Valine,HMDB00883,6287,C00183
Phenylpyruvic acid,HMDB00205,997,C00166
Propionic acid,HMDB00237,1032,C00163
Pyruvic acid,HMDB00243,1060,C00022
Sarcosine,HMDB00271,1088,C00213
